garden_name,garden_addr,garden_comments
DEARBORN COMMUNITY GARDEN,Between 17th & 18th and Valencia St. & Guerrero St.,"Marko&nbsp;Serpas&nbsp;-&nbsp;415-550-0815&nbsp;dearborngardensfwaitlist@gmail.com<br>Property Owner:  To Be Determined<br>Very long waiting list&nbsp;<br>Generally, a wait of six to eight years to get into Dearborn is not uncommon for persons who got on the list before 2006. For persons who got on the list since then, the wait might be 10-18 years, or even longer. <br><a href='http://www.sfgro.org/dearborn/default.htm' target='_blank'>Pictures!</a><br>Record last updated 10/18/10&nbsp;"
DOUBLE ROCK COMMUNITY GARDEN,Griffith @ Fitzgerald,&nbsp;Ms. Jackie&nbsp;-&nbsp;415-822-3385&nbsp;<br>Property Owner:  Alice Griffth Housing Development<br>Plots available&nbsp;<br>Plots available to Alice Griffth Housing Development (AGHD) residents<br><a href='http://www.hunterspointfamily.org' target='_blank'>http://www.hunterspointfamily.org</a><br><a href='http://www.sfgro.org/doublerock/default.htm' target='_blank'>http://www.sfgro.org/doublerock/default.htm</a><br>Record last updated before 8/18/2009 &nbsp;
FORT MASON COMMUNITY GARDEN,"Off Laguna St., near Youth Hostel",Property Owner:  Golden Gate National Recreation Association<br>Plots available&nbsp;<br><a href='http://www.butterflute.com/fmcg.html' target='_blank'>www.butterflute.com/fmcg.html</a><br>Record last updated before 8/18/2009 &nbsp;
GARDEN FOR THE ENVIRONMENT,Corner of 7th Ave. & Lawton St.,Blair&nbsp;Randall&nbsp;-&nbsp;415.731.5627&nbsp;sfgcp@yahoo.com<br>Property Owner:  Public Utilities Commission<br>No plots available&nbsp;<br>Demonstration and Education garden only.  Volunteer hours Wednesdays 10 to 2 and Saturdays 10 to 4.<br><a href='http://www.gardenfortheenvironment.org' target='_blank'>http://www.gardenfortheenvironment.org</a><br><a href='http://www.sfgro.org/GFEPictures/index.html' target='_blank'>http://www.sfgro.org/GFEPictures/index.html</a><br>Record last updated before 8/18/2009 &nbsp;
GOLDEN GATE SENIOR CENTER COMMUNITY GARDEN,"6101 Fulton St., near 37th Ave.",Carli&nbsp;Fulerton&nbsp;-&nbsp;415-666-7015&nbsp;carli.fulerton@sfgov.org<br>Victor&nbsp;Lee&nbsp;-&nbsp;&nbsp;victor.lee@sfgov.org<br>Property Owner:  Recreation and Park Department<br>No waiting list&nbsp;<br>Plots are available for senior neighbors 55 and older.<br><a href='http://www.sfgro.org/senior/default.htm' target='_blank'>Pictures!</a><br>Record last updated 06/04/10&nbsp;
GOOD PROSPECT COMMUNITY GARDEN,Prospect St. @ Cortland,Theresa&nbsp;McGrath&nbsp;-&nbsp;&nbsp;slvrweel@aol.com<br>Property Owner:  Department Public Works<br>Very long waiting list&nbsp;<br><a href='http://www.sfgro.org/NewProspect/NPIndex.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
HOOKER ALLEY/NOB HILL COMMUNITY GARDEN,Mason St. b/t Pine St. & Bush St.,Judith&nbsp;Schiff&nbsp;-&nbsp;415-267-6160&nbsp;judithsschiff@yahoo.com<br>Property Owner:  Department Public Works<br>Very long waiting list&nbsp;<br>(2-3 years)<br><a href='http://www.sfgro.org/hooker/default.htm' target='_blank'>Pictures!</a><br>Record last updated 12/13/09&nbsp;
HOWARD LANGTON COMMUNITY GARDEN,Howard St. @ Langton Alley b/t 7th St. & 8th St.,Bryon&nbsp;Waibel&nbsp;-&nbsp;(415) 777-1920&nbsp;bryony@sbcglobal.net<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/howard/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
HOWARD STREET COMMUNITY GARDEN,"Howard St.,  b/t 12th St. & South Van Ness St.",Donald&nbsp;Brown&nbsp;-&nbsp;&nbsp;howardgarden@hotmail.com<br>Property Owner:  Tenderloin Neighborhood Commission<br>Not open to the general public - see notes&nbsp;<br>Only available to tenants of properties owned by the Tenderloin Neighborhood Commission.  <br><a href='http://www.sfgro.org/howardst/' target='_blank'>Pictures!</a><br>Record last updated 12/17/09&nbsp;
KIDPOWER PARK COMMUNITY GARDEN,45 Hoff St. b/t 16th St. & 17th St.,Betty&nbsp;Traynor&nbsp;-&nbsp;(415) 931-1126&nbsp;btraynor@att.net<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/kidpower/' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
KOSHLAND PARK COMMUNITY LEARNING GARDEN (KPCLG),Corner of Page St. & Buchanan St.,Nora&nbsp;Brereton&nbsp;-&nbsp;415-424-5770&nbsp;noraborealis@juno.com<br>Property Owner:  Recreation and Park Department<br>No waiting list&nbsp;<br><a href='http://koshlandgarden.blogspot.com' target='_blank'>http://koshlandgarden.blogspot.com</a><br><a href='http://www.sfgro.org/koshland/default.htm' target='_blank'>http://www.sfgro.org/koshland/default.htm</a><br>Record last updated 04/13/10&nbsp;
LA GRANDE COMMUNITY GARDEN,"End of Dublin St., near Russia St., in park",Marvin&nbsp;Yee&nbsp;-&nbsp;415-581-2541&nbsp;marvin.yee@sfgov.org<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/lagrande/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
LESSING/SEARS MINI PARK COMMUNITY GARDEN,Lessing St. & Sears St.,Marilyn&nbsp;Ho&nbsp;-&nbsp;&nbsp;mariho72@yahoo.com<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/sears/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
McLAREN PARK COMMUNITY GARDEN,"Leland Ave. @ Hahn St., end of Leland",J.C.&nbsp;Thompson&nbsp;-&nbsp;415-239-6233&nbsp;johnkingseniorcenter@yahoo.com<br>Property Owner:  Recreation and Park Department<br>Plots Available&nbsp;<br><a href='http://www.sfgro.org/mclarenpark/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
MICHELANGELO PLAYGROUND COMMUNITY GARDEN,"Greenwich St., b/t Jones St. & Leavenworth St.",Phyllis&nbsp;Hunt&nbsp;-&nbsp;415-391-1171&nbsp;h-2660@sbcglobal.net<br>Barbara&nbsp;Killmaier&nbsp;-&nbsp;415-433-9771&nbsp;bwahoou@juno.com<br>Property Owner:  Recreation and Park Department<br>Long waiting list&nbsp;<br><a href='http://www.sfgro.org/michelangelo/' target='_blank'>Pictures!</a><br>Record last updated 06/04/10&nbsp;
MILLER MEMORIAL GROVE/DOGPATCH COMMUNITY GARDEN,Brewster St. & Rutledge St,P.&nbsp;Murakami&nbsp;-&nbsp;&nbsp;piperjay@mac.com<br>Property Owner:  Recreation and Park Department<br>Short waiting list&nbsp;<br><a href='http://www.sfgro.org/dogpatch/' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
MISSION CREEK COMMUNITY GARDEN,"300 Channel St., near houseboats",Amy&nbsp;Kuhlmann&nbsp;-&nbsp;415-864-4334&nbsp;oshunoxt@pacbell.net<br>Property Owner:  SF Port Authority<br>Very long waiting list&nbsp;<br>Approx. 10-15 year waiting list.<br><a href='http://www.sfgro.org/mc/default.htm' target='_blank'>Pictures!</a><br>Record last updated 03/21/10&nbsp;
NEW LIBERATION COMMUNITY GARDEN,Divisidero St. & Eddy St.,Linda&nbsp;Tracy&nbsp;-&nbsp;415-476-7409&nbsp;<br>Property Owner:  Private<br>Record last updated 06/03/10&nbsp;
NOE BEAVER COMMUNITY GARDEN,Corner of Noe St. & Beaver St.,Property Owner:  Recreation and Park Department<br>Very long waiting list&nbsp;<br><a href='http://www.sfgro.org/castro/default.htm' target='_blank'>Pictures!</a><br>Record last updated 06/02/10&nbsp;
OGDEN TERRACE COMMUNITY GARDEN,Ogden St. b/t Prentiss & Nevada,Vincent&nbsp;Leddy&nbsp;-&nbsp;415-283-6974&nbsp;vleddy@yahoo.com<br>Property Owner:  Department Public Works<br>Record last updated before 8/18/2009 &nbsp;
PAGE STREET COMMUNITY GARDEN,Page St. b/t Buchanan St. & Webster St.,Michael&nbsp;McCauley&nbsp;-&nbsp;415-902-9537&nbsp;mccami@covad.net<br>Property Owner:  Recreation and Park Department<br><a href='http://pagestreetgarden.blogspot.com/' target='_blank'>pagestreetgarden.blogspot.com/</a><br>Record last updated 06/03/10&nbsp;
PARK STREET COMMUNITY GARDEN,"End of Park St. @ San Jose Ave., west of Mission St.",Susan&nbsp;Leeds&nbsp;-&nbsp;415-285-6186&nbsp;srleeds@yahoo.com<br>Property Owner:  Department Public Works<br><a href='http://www.sfgro.org/park/default.htm' target='_blank'>Pictures!</a><br>Record last updated 06/04/10&nbsp;
POTRERO DEL SOL COMMUNITY GARDEN,Potrero Ave. @ Cesar Chavez St.,Rita&nbsp;Meakin&nbsp;-&nbsp;415-282-2852&nbsp;<br>Mary Beth&nbsp;Pudup&nbsp;-&nbsp;415-641-8988&nbsp;pudup@ucsc.edu<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/potrerodelsol/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
POTRERO HILL COMMUNITY GARDEN,"20th St. @ San Bruno Ave., near McKinley Square Park","Garden&nbsp;Coordinator&nbsp;-&nbsp;415-449-0410&nbsp;info@potrerogarden.org<br>Property Owner:  Recreation and Park Department<br>Very long waiting list&nbsp;<br>Waiting list is approx 25 people, or about a 2-1/2 to 3 year wait.<br><a href='http://www.potrerogarden.org' target='_blank'>www.potrerogarden.org</a><br>Record last updated before 8/18/2009 &nbsp;"
ROSE / PAGE COMMUNITY GARDEN,Page St. b/t Laguna St. & Octavia Blvd.,Shelley&nbsp;Burton&nbsp;-&nbsp;415-621-0319&nbsp;shelleyburton@earthlink.net<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/rose_page/' target='_blank'>Pictures!</a><br>Record last updated 06/06/10&nbsp;
SUNSET COMMUNITY GARDEN,37th Ave. @ Pacheco St.,Dianne&nbsp;Modole&nbsp;-&nbsp;564-0871&nbsp;<br>Pedro&nbsp;Rivadeneyro&nbsp;-&nbsp;(415) 564-5642&nbsp;smk3216@yahoo.com<br>Property Owner:  San Francisco Unified School District<br>No plots available&nbsp;<br><a href='http://www.sfgro.org/sunset/' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
TELEGRAPH HILL NEIGHBORHOOD CENTER COMMUNITY GARDEN,"660 Lombard St., b/t Powell St. & Mason St.",Madeline&nbsp;Houghton&nbsp;-&nbsp;415-421.6443 X13&nbsp;madeline@tel-hi.org<br>Property Owner:  Unknown<br>Record last updated before 8/18/2009 &nbsp;
TREAT COMMONS COMMUNITY GARDEN AT PARQUE NINOS UNIDOS,Corner of 23rd St. & Treat Ave.,Tree&nbsp;Rubenstein&nbsp;-&nbsp;415-824-5193&nbsp;iamtree@pacbell.net<br>Property Owner:  Recreation and Park Department<br>Record last updated before 8/18/2009 &nbsp;
VICTORIA MANALO DRAVES COMMUNITY GARDEN,Folsom St. & Sherman St.,Raymon&nbsp;Smith&nbsp;-&nbsp;415-240-6449&nbsp;<br>Property Owner:  Recreation and Park Department<br><a href='http://www.sfgro.org/manalo/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
VISITACION VALLEY GREENWAY COMMUNITY GARDEN,"midblock between Raymond and Arleta Streets, east of Rutland Ave",Fran&nbsp;Martin&nbsp;-&nbsp;415-468-0639&nbsp;<br>Anne&nbsp;Seeman&nbsp;-&nbsp;415-467-8721&nbsp;sguanne@yahoo.com<br>Property Owner:  Public Utilities Commission<br>No plots available&nbsp;<br><a href='http://www.sfgro.org/vvgreenway/default.htm' target='_blank'>Pictures!</a><br>Record last updated 06/03/10&nbsp;
WHITE CRANE SPRINGS COMMUNITY GARDEN,End of Locksley (6th Ave) near 7th and Lawton,Property Owner:  Department Public Works<br>Long waiting list&nbsp;<br>Waitlist is 12-18 months.<br><a href='http://sfgro.org/whitecrane/wcs/' target='_blank'>Pictures!</a><br>Record last updated 07/13/10&nbsp;
WOLFE LANE COMMUNITY GARDEN,"Rutledge & Mullen, on hillside",Peter&nbsp;Schwab&nbsp;-&nbsp;415-695-5764&nbsp;pschwab52@aim.com<br>Property Owner:  Department Public Works<br><a href='http://www.sfgro.org/wolfe/default.htm' target='_blank'>Pictures!</a><br>Record last updated before 8/18/2009 &nbsp;
